Artist,Title,Skip,Favourite,Tags
Dire Straits,Walk Of Life,,,Jessica Protest Karaoke
Erasure,A Little Respect,,,Jessica Protest Karaoke
Erasure,Sometimes,,,Jessica Protest Karaoke
Erasure,Stop!,,,Jessica Protest Karaoke
Erasure,Chains of Love,,,Jessica Protest Karaoke
"Joe Cocker,Jennifer Warnes",Up Where We Belong,,,Jessica Protest Karaoke; Dicky Karaoke
"Bill Medley,Jennifer Warnes",(I've Had) The Time Of My Life - From  Dirty Dancing  Soundtrack,,,Jessica Protest Karaoke
Robert Palmer,Addicted To Love,,,Jessica Protest Karaoke
Hole,Doll Parts,,,Jessica Protest Karaoke
PJ Harvey,To Bring You My Love,,,Jessica Protest Karaoke
PJ Harvey,C'mon Billy,,,Jessica Protest Karaoke
Meat Loaf,I'd Do Anything For Love (But I Won't Do That),,,Jessica Protest Karaoke
Van Halen,Jump,,,Jessica Protest Karaoke
Billy Ocean,"When the Going Gets Tough, The Tough Get Going",,,Jessica Protest Karaoke
Nick Cave & The Bad Seeds,Do You Love Me?,,,Jessica Protest Karaoke
Angry Anderson,Suddenly,,,Jessica Protest Karaoke
Glen Campbell,Wichita Lineman,,,Jessica Protest Karaoke
Neneh Cherry,Buffalo Stance,,,Jessica Protest Karaoke
"Paul McCartney,Wings",Live And Let Die - Main Title,,,Jessica Protest Karaoke
Deniece Williams,Let's Hear It for the Boy,,,Dicky Karaoke
Alison Moyet,Weak in the Presence of Beauty,,,Dicky Karaoke
Then Jerico,Big Area,,,Dicky Karaoke
Pat Benatar,Love Is a Battlefield,,,Dicky Karaoke
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),,,Dicky Karaoke
Roxette,It Must Have Been Love,,,Dicky Karaoke
Maria McKee,Show Me Heaven,,,Dicky Karaoke
Starship,Nothing's Gonna Stop Us Now,,,Dicky Karaoke
Morrissey,"The More You Ignore Me, the Closer I Get",,,Dicky Karaoke
Paul Young,Every Time You Go Away,,,Dicky Karaoke
The Beach Boys,Kokomo,,,Dicky Karaoke
No Doubt,Don't Speak,,,Dicky Karaoke
Seal,Kiss From a Rose,,,Dicky Karaoke
Lizzo,Am I Ready,,,Dicky Karaoke
